	GSM1389613	GSM1389614	GSM1389615	GSM1389616	GSM1389617	GSM1389618	GSM1389619	GSM1389620
SMPD3	6.47652986458814	6.41081924877106	6.52033862364862	6.37463835946591	6.4942457847283	5.82326788216682	5.69750525720222	5.87580999966579
ASIC4	6.15022156577056	6.08625961443232	6.11786389552705	6.04274122799143	6.06860567389798	5.90438203195956	5.79592315766918	5.88369140536549
PRF1	6.01499090045755	6.42660767062288	6.70183917662934	6.73835702321165	6.85281763803032	6.41197399780999	7.00206155064245	6.6652348302531
ELAC1	6.16772490738392	6.10515044841196	6.17267942711263	6.0610829204459	6.12407511552475	5.74055924205207	5.6119814762817	5.758892400254
TRIM36	5.88598227997449	5.78713362517935	5.90303062566685	5.7418984720837	5.91422342481836	4.93985759709067	4.7217310916745	5.0529510336464
DHTKD1	7.52727799210852	7.39688381886385	7.33419862860315	7.6851015302891	7.40183164291521	8.03541930832776	8.25460274474526	8.32481062282305
SRGN	6.98313127701332	6.30866439725095	5.80467729560828	6.25843205725547	6.19378278332904	8.06859904000159	8.84425945260374	8.67087319721759
SLC30A10	5.52192173009593	5.49234989208452	5.63939902497542	5.49266770551296	5.63179229192334	4.87866747688219	4.76774598690705	4.97448057730238
KCNQ1DN	6.2760034012587	6.20850891835766	6.22342822605942	6.14994238946663	6.13618631825687	6.17850293121932	6.07271456822406	6.11390351346557
PRG2	6.31206123176675	6.28594530448284	6.44169079722489	6.30467194044413	6.46652368021702	5.63172323400275	5.55662632199004	5.73523810802272
IL17RB	6.41638940118047	6.86323301976717	6.74629027703548	7.22198416381178	7.07476428246122	8.16023108147224	9.04800843969585	8.21222689414657
RBM38	6.80085182804995	6.69800779682882	6.63395213226991	6.60376260157604	6.51005228664808	6.98588368081496	6.8925981110005	6.81341791030137
KLK15	5.96272321213447	5.88820405881943	5.98199342082124	5.84076266336091	5.93288484416414	5.40195923681964	5.2369414946773	5.43724996593619
ENOSF1	8.61078855495177	9.02897059079964	8.66099543269586	8.55625113120439	8.10585563701761	9.0857365606867	8.27235530175806	8.67922526804899
PLXNA3	6.06558522717081	6.08337932182092	6.0466968002193	6.06956741975266	5.96501801932751	6.52381294441434	6.57939144113008	6.41662707672927
HAUS7	6.70095754587066	6.71770323731376	6.73786610426131	6.71281228317509	6.69000705896281	6.81731272570208	6.87929712941213	6.76831306221048
ZNF821	6.46434949762458	6.43521195389828	6.42306035257813	6.41051919907907	6.38242451311333	6.52913582822098	6.51786040822539	6.46955903637305
DNAH3	5.60884428913765	5.68403532536664	5.70712427840503	5.7304794632873	5.66463343021877	6.07429580300233	6.20818076966714	6.01189114901409
GALNT10	6.26714417824377	6.32291380983753	6.13409164941502	6.36869239655707	6.24247785028068	6.95560952276311	7.16870315619443	6.88606686999119
CDV3	9.70779719485615	9.19531549124481	9.27856905178015	8.81328544339904	9.41595566186927	8.20093332734805	7.24325332518284	8.62539761763849
STAB2	6.10045261602664	5.9740639446194	5.93045797412531	5.87649244394203	5.85578705738257	5.91195599988026	5.7291942955258	5.8291602580509
NAGK	8.42959659152977	8.90259125904607	8.77173143893194	8.97734721238496	8.3542111071146	8.83226929041695	9.85071449938914	9.30682341712536
SUPT20H	6.87643903056989	7.00677449067881	6.96966583919863	7.08593699134102	6.99087266516638	7.59975048044695	7.9043580970751	7.52231098669393
PRIM1	6.37744326040331	6.63095350152086	6.65577782685403	6.83759494276445	6.84629570019704	6.94096534967045	7.41210422416075	7.04817739926073
CHRNA9	6.18043119535787	6.63755339535261	6.24282953098422	6.15677803237392	5.69695082669806	4.81072110981902	5.04754464474982	6.87029778205307
UBE2Q1	8.76003348852332	8.90364552466149	8.8551634276219	8.89166684945509	8.72386116980654	9.82653780051407	10.0361008472073	9.56912084977747
BMP2K	5.56270766073817	5.59495208828792	5.57003679380215	5.64573427078874	5.69324440550112	5.46177248118131	5.53995879642374	5.53755187894625
GOLGA2P5	6.25114926609767	6.10545382400119	6.13578212303532	5.99417404663883	6.04493725296308	5.67783197787224	5.42693036351341	5.65247684721569
ZCCHC8	8.34858845803981	7.98996103299641	8.1136546561139	8.07885324107774	8.18373619715657	8.12119484212961	8.22179474940644	7.97481701286795
DDX60	8.02330920400409	7.63835656484237	7.33249805809948	8.08102452343826	8.30510027753117	8.01167211761813	8.0037391902035	9.63929492354142
CDKN2AIP	7.71940678890324	7.74637669892044	7.78549887472409	7.77510011268999	7.84925155286674	7.7076436726363	7.71650496356198	7.41317069531714
FAM46A	11.0614030312236	10.5306703495077	10.2563691484432	10.556652829749	10.2692744209624	8.5806701583503	8.36665505118722	10.08243041889
PPP1R9A	7.47699068533343	7.31494911514899	7.43021625967527	7.15592877873331	7.27524561588209	6.58358556861915	6.27669116649271	6.53195082456686
ANKRD10	9.29831350041117	9.18064818865888	9.56265760536639	9.34724187286679	9.72022407328673	9.29913459249831	8.60462319334607	8.82658757638597
FERMT1	6.73210031431982	6.72536027788729	6.73394179027883	6.74044940328404	6.81532252192775	6.46000344873847	6.50908957737792	6.49772007414617
KIF16B	6.90704597709581	7.19188229624226	7.0055501045301	7.33439271329839	7.09701723949563	7.18933181687895	7.29635511401771	7.1829572574271
PRR5	6.03382396576694	6.13166320439055	6.01833660171232	6.20284053632941	6.11083322332556	6.64727051522937	6.88219860512494	6.62057675416008
ASAP3	7.2971221718213	7.222556592872	7.19273059422773	7.128181905185	7.08887246503305	7.32204102146648	7.25732653714684	7.17972091395312
TASP1	7.654102105471	7.71283895903639	7.66103589511282	7.6989391991665	7.56519687816389	8.38369767014647	8.56357334111428	8.1870033673129
DOCK10	5.45539973174857	5.62219046118835	5.64331702466242	5.81699674408184	6.00228708546729	5.10165192159822	5.38796959100656	5.39732663341611
STAP2	7.55599797614002	7.51190124581861	7.31069309356361	7.45215054220997	7.3735209621477	7.82766516862245	7.88974915293508	7.69648506997242
TRMT1	6.37291724530191	6.37638774991026	6.31884958406229	6.40091065397398	6.4363263472383	6.25010462816121	6.31850334551377	6.29800183443833
TTC27	7.23093893837187	7.39768811784873	7.34783673182019	7.49422897401238	7.41457180240329	8.01729226209026	8.3780443279913	7.94163643763513
THUMPD1	8.71199231845703	8.76382374015093	8.87963713095038	8.78561000142263	8.72525124368461	8.66001159881494	7.98961119004592	8.4509491919652
POMGNT1	6.96683372160118	6.92578390435845	6.86580890497876	6.87988806228297	6.80949872730915	7.20877749602514	7.23231768524781	7.07852866416546
ZDHHC7	8.51608579301071	8.65551258949925	8.51511462345884	8.67941839943114	8.51034968804161	9.58425315838136	9.86892379085553	9.37449325465933
AMBRA1	7.24536481317513	7.20076280451257	7.20558297257646	7.13137339537953	7.10667929631346	7.2688806912635	7.24264778324876	7.15365516556505
