ID	Symbol	SPOT_ID	ENTREZ_GENE_ID
101_at	ADAM8	ADAM metallopeptidase domain 8	101
10100_at	TSPAN2	tetraspanin 2	10100
10101_at	NUBP2	nucleotide binding protein 2	10101
10102_at	TSFM	"Ts translation elongation factor, mitochondrial"	10102
10103_at	TSPAN1	tetraspanin 1	10103
10105_at	PPIF	peptidylprolyl isomerase F	10105
101055625_at	OVCH1-AS1	OVCH1 antisense RNA 1	101055625
10106_at	CTDSP2	CTD small phosphatase 2	10106
101060179_at	LOC101060179	uncharacterized LOC101060179	101060179
10109_at	ARPC2	actin related protein 2/3 complex subunit 2	10109
10110_at	SGK2	"SGK2, serine/threonine kinase 2"	10110
10111_at	RAD50	RAD50 double strand break repair protein	10111
10113_at	PREB	prolactin regulatory element binding	10113
10114_at	HIPK3	homeodomain interacting protein kinase 3	10114
10116_at	FEM1B	fem-1 homolog B	10116
1012_at	CDH13	cadherin 13	1012
10120_at	ACTR1B	"ARP1 actin-related protein 1 homolog B, centractin beta"	10120
10121_at	ACTR1A	"ARP1 actin-related protein 1 homolog A, centractin alpha"	10121
10123_at	ARL4C	ADP ribosylation factor like GTPase 4C	10123
10125_at	RASGRP1	RAS guanyl releasing protein 1	10125
10126_at	DNAL4	dynein axonemal light chain 4	10126
10127_at	ZNF263	zinc finger protein 263	10127
10128_at	LRPPRC	leucine rich pentatricopeptide repeat containing	10128
10129_at	FRY	FRY microtubule binding protein	10129
1013_at	CDH15	cadherin 15	1013
10130_at	PDIA6	protein disulfide isomerase family A member 6	10130
10131_at	TRAP1	TNF receptor associated protein 1	10131
10133_at	OPTN	optineurin	10133
10134_at	BCAP31	B-cell receptor-associated protein 31	10134
10135_at	NAMPT	nicotinamide phosphoribosyltransferase	10135
10136_at	CELA3A	chymotrypsin like elastase family member 3A	10136
10137_at	RBM12	RNA binding motif protein 12	10137
10138_at	YAF2	YY1 associated factor 2	10138
10139_at	ARFRP1	ADP ribosylation factor related protein 1	10139
1014_at	CDH16	cadherin 16	1014
10140_at	TOB1	"transducer of ERBB2, 1"	10140
101410533_at	YTHDF3-AS1	YTHDF3 antisense RNA 1 (head to head)	101410533
101410538_at	MMP24-AS1	MMP24 antisense RNA 1	101410538
10142_at	AKAP9	A-kinase anchoring protein 9	10142
10144_at	FAM13A	family with sequence similarity 13 member A	10144
